name,rating,reviews,industry_sector,no_of_employees,company_type,how_old,head_quarters
L&T Infotech,3.8,5.1k,IT Services & Consulting , 10k-50k Employees , Public , 28 years old , Mumbai +81 more
ITC,3.9,5.1k,FMCG , 10k-50k Employees , Public , 49 years old , Kolkata +296 more
Zydus Lifesciences,4.1,5k,Pharma , 10k-50k Employees , Public , 72 years old , Ahmedabad +145 more
Wells Fargo,4.1,5k,Banking , 10k-50k Employees , Public , 172 years old , San Francisco +20 more
Quess,3.9,5k,IT Services & Consulting , 1 Lakh+ Employees , Public , 17 years old , Bangalore +491 more
Delhivery,4.0,4.9k,Logistics , 10k-50k Employees , Fortune India 500 , 13 years old , Delhi +596 more
JP Morgan Chase,4.2,4.9k,Financial Services , 50k-1 Lakh Employees , Forbes Global 2000 , 24 years old , New York +32 more
FIS,3.9,4.8k,FinTech , 10k-50k Employees , 56 years old ," Jacksonville +46 more
								   Highly Rated For Work Life Balance, Company Culture, Job Security  Critically Rated For Promotions / Appraisal",
Hindustan Unilever,4.2,4.8k,FMCG , 10k-50k Employees , Public , 152 years old , London +409 more
Amazon Development Centre India,4.2,4.8k,Internet , 10k-50k Employees ," Hyderabad/Secunderabad +69 more
								   Highly Rated For Company Culture, Salary & Benefits, Work Life Balance",,
IIFL Finance,3.9,4.8k,NBFC , 10k-50k Employees , Public , 29 years old , Bhubaneswar +646 more
JSW Steel,3.9,4.6k,Iron & Steel , 10k-50k Employees , Public , 42 years old , Bhubaneswar +135 more
Hexaware Technologies,3.7,4.6k,IT Services & Consulting , 10k-50k Employees , Fortune India 500 , 34 years old , Chennai +41 more
Sun Pharmaceutical Industries,4.1,4.5k,Pharma , 10k-50k Employees , Public , 41 years old , Mumbai +191 more
Ujjivan Small Finance Bank,4.1,4.4k,Banking , 10k-50k Employees , Public , 7 years old , Bangalore/Bengaluru +428 more
Max Life Insurance,4.2,4.3k,Insurance , 10k-50k Employees , 24 years old ," Gurgaon/Gurugram +376 more
								   Highly Rated For Skill Development / Learning, Company Culture, Job Security",
Home Credit Finance,4.1,4.3k,Financial Services , 10k-50k Employees , 12 years old ," Gurugram +114 more
								   Highly Rated For Company Culture, Skill Development / Learning, Work Life Balance",
Muthoot Finance,3.6,4.3k,NBFC , 10k-50k Employees , Public , 85 years old , Kochi/Cochin +610 more
Shapoorji Pallonji Group,4.2,4.2k,Engineering & Construction , 5k-10k Employees , Conglomerate , 159 years old , Mumbai +155 more
KPMG India,3.6,4.2k,Management Consulting , 10k-50k Employees , 37 years old ," Bengaluru/Bangalore +75 more
								   Highly Rated For Job Security  Critically Rated For Work Life Balance, Work Satisfaction, Promotions / Appraisal",
Oracle,3.9,4.2k,Software Product , 50k-1 Lakh Employees , Public , 47 years old , Austin +44 more
Aurobindo Pharma,4.0,4.2k,Pharma , 10k-50k Employees , Public , 38 years old , Hyderabad/Secunderabad +88 more
Tata Projects,4.2,4.2k,Engineering & Construction , 5k-10k Employees , Public , 45 years old , Mumbai +233 more
OPPO,3.9,4.2k,Consumer Electronics & Appliances , 10k-50k Employees , Public , 20 years old , Dongguan +365 more
eClerx,3.4,4.2k,IT Services & Consulting , 10k-50k Employees , Public , 24 years old , Mumbai +17 more
L&T Construction,4.0,4.2k,Engineering & Construction , 10k-50k Employees , Public , 80 years old , Chennai +333 more
Capgemini Technology Services India Limited,4.0,4.1k,IT Services & Consulting , 1 Lakh+ Employees ," Bengaluru/Bangalore +41 more
								   Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits",,
Shriram Transport Finance,4.1,4.1k,NBFC , 10k-50k Employees , Public , 45 years old , Mumbai +766 more
Ashok Leyland,4.1,4.1k,Automobile , 5k-10k Employees , Public , 76 years old , Chennai +203 more
Siemens,4.2,4.1k,Power , 5k-10k Employees , Public , 177 years old , Munich +125 more
Apollo Hospitals,4.1,4.1k,Healthcare , 10k-50k Employees , Public , 41 years old , Chennai +178 more
JLL,4.2,4.1k,Real Estate , 10k-50k Employees , Forbes Global 2000 , 27 years old , Mumbai +68 more
Vivo,4.1,4k,Consumer Electronics & Appliances , 5k-10k Employees , Conglomerate , 15 years old , Gurgaon/Gurugram +368 more
Omega Healthcare,3.8,4k,Healthcare , 10k-50k Employees , 21 years old ," Florida +42 more
								    Critically Rated For Promotions / Appraisal, Salary & Benefits",
JustDial,3.6,4k,Internet , 10k-50k Employees , Public , 28 years old , Mumbai +174 more
First Source,3.8,3.9k,BPO , 10k-50k Employees , Public , 23 years old , Mumbai +51 more
Mahindra & Mahindra Financial Services,4.3,3.9k,NBFC , 10k-50k Employees , Public , 33 years old , Mumbai +631 more
Megha Engineering & Infrastructures,4.0,3.9k,Engineering & Construction , 50k-1 Lakh Employees , Conglomerate , 35 years old , Hyderabad/Secunderabad +286 more
Hewlett-Packard Enterprise,4.3,3.9k,Emerging Technologies , 10k-50k Employees , Forbes Global 2000 , 9 years old , Houston +96 more
Hero MotoCorp,4.2,3.9k,Automobile , 5k-10k Employees , Public , 40 years old , Gurgaon/Gurugram +306 more
Bajaj Allianz Life Insurance,4.1,3.8k,Insurance , 10k-50k Employees , 23 years old ," Pune +487 more
								   Highly Rated For Salary & Benefits, Work Life Balance, Job Security",
Cyient,3.8,3.7k,IT Services & Consulting , 10k-50k Employees , Public , 33 years old , Hyderabad/Secunderabad +33 more
ICICI Lombard General Insurance Company,3.8,3.7k,Insurance , 10k-50k Employees , Public , 23 years old , Mumbai +256 more
D Mart,3.9,3.7k,Retail , 10k-50k Employees , Fortune India 500 , 24 years old , Mumbai +205 more
BigBasket,4.0,3.7k,Internet , 10k-50k Employees , Indian Unicorn , 13 years old , Bangalore +109 more
Coforge,3.5,3.7k,10k-50k Employees , Public , 20 years old ," Noida +85 more
								    Critically Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
Indiamart Intermesh,3.6,3.7k,Internet , 5k-10k Employees , 28 years old ," Noida +134 more
								    Critically Rated For Promotions / Appraisal, Work Satisfaction",
Virtusa Consulting Services,3.8,3.6k,IT Services & Consulting , 10k-50k Employees , 28 years old ," Southborough +35 more
								    Critically Rated For Promotions / Appraisal",
Hyundai Motor,4.3,3.6k,Automobile , 10k-50k Employees , Fortune India 500 , 57 years old , Seoul +269 more
Equitas Small Finance Bank,4.4,3.6k,Banking , 10k-50k Employees , Fortune India 500 , 17 years old , Chennai +361 more
TVS Motor,4.0,3.6k,Automobile , 5k-10k Employees , Public , 45 years old , Chennai +269 more
Nagarro,4.2,3.5k,IT Services & Consulting , 10k-50k Employees , 28 years old ," Munich +38 more
								   
		 AmbitionBox Award Winner'22
	    Highly Rated For Company Culture, Work Life Balance, Salary & Benefits",
UST,3.8,3.5k,IT Services & Consulting , 10k-50k Employees , 23 years old ," Aliso Viejo +36 more
								   Highly Rated For Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits",
GlobalLogic,3.7,3.5k,IT Services & Consulting , 10k-50k Employees , 24 years old ," San Jose +31 more
								   Highly Rated For Work Life Balance, Job Security, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",
Atos Syntel,3.6,3.5k,IT Services & Consulting , 5k-10k Employees , 44 years old ," Troy +23 more
								    Critically Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
Manappuram Finance,3.9,3.5k,NBFC , 10k-50k Employees , Public , 75 years old , Thrissur/Trichur +480 more
Reliance Communications,3.9,3.5k,Telecom , 201-500 Employees , Public , 22 years old , Navi Mumbai +419 more
IQVIA,4.1,3.5k,Clinical Research , 10k-50k Employees , Forbes Global 2000 , 42 years old , Durham +41 more
Cummins,4.4,3.4k,Auto Components , 10k-50k Employees , Fortune India 500 , 62 years old , Columbus +102 more
SBI Cards & Payment Services,3.7,3.4k,1k-5k Employees , 26 years old ," Gurgaon/Gurugram +328 more
								    Critically Rated For Promotions / Appraisal, Work Satisfaction, Company Culture",,
Bosch Global Software Technologies,4.1,3.4k,Software Product , 10k-50k Employees , 34 years old ," Gerlingen +28 more
								   Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal",
Bosch,4.3,3.4k,Auto Components , 5k-10k Employees , Public , 138 years old , Gerlingen +96 more
SMFG India Credit,4.1,3.4k,NBFC , 10k-50k Employees , 17 years old ," Mumbai +477 more
								   Highly Rated For Salary & Benefits, Job Security, Skill Development / Learning",
BNY Mellon,4.1,3.4k,Investment Banking / Venture Capital / Private Equity , 10k-50k Employees , Forbes Global 2000 , 20 years old , New York City +14 more
Oyo Rooms,3.4,3.3k,Hospitality , 1k-5k Employees , Indian Unicorn , 11 years old , Gurgaon +114 more
Cholamandalam Investment & Finance,4.1,3.3k,NBFC , 10k-50k Employees , Fortune India 500 , 46 years old , Chennai +615 more
Schneider Electric,4.1,3.3k,Industrial Automation , 10k-50k Employees , Forbes Global 2000 , 25 years old , Paris +106 more
Ekart Logistics,4.1,3.3k,Logistics , 5k-10k Employees , 15 years old ," San Francisco +548 more
								   Highly Rated For Skill Development / Learning, Salary & Benefits, Company Culture",
Amdocs,4.0,3.3k,Software Product , 10k-50k Employees , Forbes Global 2000 , 42 years old , Chesterfield +15 more
BT Group,4.1,3.3k,Telecom , 10k-50k Employees , Forbes Global 2000 , 178 years old , London +18 more
L&T Technology Services,3.4,3.3k,IT Services & Consulting , 10k-50k Employees , Public , 12 years old , Vadodara/Baroda +46 more
CBRE,4.2,3.3k,Real Estate , 10k-50k Employees , Forbes Global 2000 , 118 years old , Los Angeles +68 more
State Bank of India,3.7,3.2k,Banking , 1 Lakh+ Employees , Fortune India 500 , 218 years old , Mumbai +469 more
JBM Group,4.0,3.2k,Auto Components , 1k-5k Employees , Public , 41 years old , Gurgaon/Gurugram +86 more
Swiggy,3.9,3.2k,Internet , 5k-10k Employees , Indian Unicorn , 10 years old , Bangalore +177 more
Future Group,4.3,3.2k,Retail , 10k-50k Employees , Conglomerate , 11 years old , Mumbai +201 more
Dell,4.1,3.2k,Consumer Electronics & Appliances , 10k-50k Employees , Forbes Global 2000 , 40 years old , Round Rock +94 more
Ecom Express,4.1,3.1k,Logistics , 10k-50k Employees , 12 years old ," Gurgaon +602 more
								   
		 AmbitionBox Award Winner'22
	    Highly Rated For Skill Development / Learning, Work Life Balance, Company Culture",
Bajaj Auto,3.8,3.1k,Automobile , 5k-10k Employees , Public , 79 years old , Pune +243 more
SBI Life Insurance Company,3.8,3.1k,Insurance , 10k-50k Employees , 23 years old ," Mumbai +514 more
								   Highly Rated For Job Security  Critically Rated For Promotions / Appraisal",
Optum,4.0,3.1k,Healthcare , 10k-50k Employees , 47 years old ," Prairie +28 more
								   Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal",
KEC International,4.1,3.1k,Engineering & Construction , 5k-10k Employees , Public , 79 years old , Mumbai +262 more
Nagarjuna Construction Company,4.1,3.1k,Engineering & Construction , 5k-10k Employees , Public , 26 years old , Hyderabad/Secunderabad +216 more
Muthoot Fincorp,4.0,3k,NBFC , 10k-50k Employees , Conglomerate , 137 years old , Trivandrum/Thiruvananthapuram +524 more
Aditya Birla Fashion and Retail,4.2,3k,Fashion & Textile , 10k-50k Employees , Fortune India 500 , 9 years old , Mumbai +219 more
Piramal Capital Housing Finance,4.2,3k,NBFC , 1k-5k Employees , 4 years old ," Mumbai +317 more
								   Highly Rated For Company Culture, Skill Development / Learning, Salary & Benefits",
Viatris,4.3,3k,Pharma , 10k-50k Employees , Forbes Global 2000 , 63 years old , Canonsburg +70 more
Kogta Financial India Limited,4.8,3k,NBFC , 1k-5k Employees , Public , 28 years old , Jaipur +205 more
Royal Enfield,4.2,2.9k,Automobile , 10k-50k Employees , 123 years old ," Gurgaon/Gurugram +295 more
								   Highly Rated For Skill Development / Learning, Company Culture, Work Satisfaction",
Samvardhana Motherson Group,3.8,2.9k,Auto Components , 1k-5k Employees , Public , 38 years old , Noida +75 more
Tata Communications,4.1,2.9k,Telecom , 5k-10k Employees , Public , 38 years old , Mumbai +90 more
L&T Finance,4.0,2.9k,NBFC , 10k-50k Employees , Public , 30 years old , Mumbai +466 more
LG Electronics,4.0,2.9k,Consumer Electronics & Appliances , 10k-50k Employees , Public , 66 years old , Seoul +242 more
Intas Pharmaceuticals,4.2,2.9k,Pharma , 10k-50k Employees , Fortune India 500 , 24 years old , Ahmedabad +112 more
Godrej & Boyce Manufacturing,3.9,2.9k,Engineering & Construction , 10k-50k Employees , Fortune India 500 , 127 years old , Mumbai +127 more
John Deere,4.3,2.9k,Industrial Machinery , 5k-10k Employees , Fortune India 500 , 23 years old , Moline +116 more
Varun Beverages,4.0,2.8k,Beverage , 5k-10k Employees , Public , 29 years old , Gurgaon/Gurugram +268 more
Thermax Limited,4.2,2.8k,Industrial Machinery , 1k-5k Employees , Public , 58 years old , Pune +170 more
Randstad,3.9,2.8k,Recruitment , 5k-10k Employees , Conglomerate , 32 years old , Chennai +252 more
Hetero Drugs,3.8,2.8k,Pharma , 1k-5k Employees , 31 years old ," Hyderabad/Secunderabad +42 more
								   Highly Rated For Job Security  Critically Rated For Promotions / Appraisal, Salary & Benefits",
Persistent Systems,3.8,2.8k,IT Services & Consulting , 10k-50k Employees , Public , 34 years old , Pune +30 more
Whitehat jr,3.5,2.8k,EdTech , 5k-10k Employees , Startup , 6 years old , Mumbai +50 more
Havells,4.1,2.8k,Electrical Equipment , 5k-10k Employees , Public , 41 years old , Noida +174 more
Macleods Pharmaceuticals,3.7,2.7k,Pharma , 10k-50k Employees , Public , 38 years old , Mumbai +96 more
Deutsche Bank,4.1,2.7k,Banking , 10k-50k Employees , Fortune India 500 , 154 years old , Frankfurt +34 more
CARS24,3.6,2.7k,Internet , 5k-10k Employees , Indian Unicorn , 9 years old , Gurgaon +146 more
Sodexo,4.1,2.7k,Facility Management Services , 10k-50k Employees , Forbes Global 2000 , 16 years old , Issy les Moulineaux +128 more
Abbott Healthcare,4.1,2.7k,Pharma , 10k-50k Employees , Public , 33 years old , Illinois City +169 more
Subros,3.9,2.7k,Auto Components , 1k-5k Employees , Public , 39 years old , Noida +55 more
Ford Motor,4.4,2.7k,Automobile , 5k-10k Employees , Public , 121 years old , Dearborn +108 more
VE Commercial Vehicles,4.0,2.7k,Automobile , 1k-5k Employees , 16 years old ," Gurgaon/Gurugram +125 more
								   Highly Rated For Job Security, Skill Development / Learning, Company Culture  Critically Rated For Promotions / Appraisal",
Team Lease,3.9,2.7k,Recruitment , 1k-5k Employees , Public , 8 years old , Bangalore/Bengaluru +294 more
Indian Oil Corporation,4.4,2.7k,Oil & Gas , 10k-50k Employees , Fortune India 500 , 65 years old , Delhi/NCR +250 more
Automatic Data Processing (ADP),4.1,2.7k,Software Product , 1k-5k Employees , Forbes Global 2000 , 75 years old , Hyderabad/Secunderabad +22 more
American Express,4.3,2.6k,Financial Services , 10k-50k Employees , Forbes Global 2000 , 174 years old , Ahmedabad +44 more
Cgi Group,4.1,2.6k,IT Services & Consulting , 10k-50k Employees , Forbes Global 2000 , 48 years old , Bengaluru/Bangalore +21 more
UnitedHealth,4.1,2.6k,Healthcare , 10k-50k Employees , Forbes Global 2000 , 47 years old , Hyderabad/Secunderabad +14 more
Standard Chartered Bank,3.9,2.6k,Banking , 10k-50k Employees , Fortune India 500 , 55 years old , Ahmedabad +57 more
Bharat Electronics,4.1,2.6k,Electronics Manufacturing , 5k-10k Employees , Fortune India 500 , 70 years old , Ahmedabad +44 more
Alembic Pharmaceuticals,4.0,2.6k,Pharma , 10k-50k Employees , Public , 117 years old , Ahmedabad +146 more
Pidilite Industries,4.3,2.6k,Chemicals , 5k-10k Employees , Public , 65 years old , Ahmedabad +224 more
R1 RCM,3.9,2.6k,Healthcare , 5k-10k Employees , 17 years old ," Gurgaon/Gurugram +29 more
								   Highly Rated For Job Security, Company Culture, Work Life Balance",
Alkem Laboratories,3.9,2.6k,Pharma , 10k-50k Employees , Public , 51 years old , Ahmedabad +154 more
Publicis Sapient,3.6,2.5k,IT Services & Consulting , 10k-50k Employees , 34 years old ," Ahmedabad +24 more
								    Critically Rated For Promotions / Appraisal, Job Security, Work Satisfaction",
Hindalco Industries,4.2,2.5k,Metals & Mining , 10k-50k Employees , Public , 66 years old , Ahmedabad +82 more
Access Healthcare,3.9,2.5k,IT Services & Consulting , 5k-10k Employees , 13 years old ," Chennai +29 more
								   Highly Rated For Job Security, Company Culture",
Atos,3.8,2.5k,IT Services & Consulting , 10k-50k Employees , Forbes Global 2000 , 27 years old , Ahmedabad +38 more
ITC Infotech,3.6,2.5k,IT Services & Consulting , 10k-50k Employees , 24 years old ," Ahmedabad +51 more
								    Critically Rated For Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",
Indian Air Force,4.7,2.5k,Defence & Aerospace , 1 Lakh+ Employees , 92 years old ," Ahmedabad +109 more
								   Highly Rated For Job Security, Skill Development / Learning, Salary & Benefits",
Tata AIA Life Insurance,4.1,2.5k,Insurance , 10k-50k Employees , 23 years old ," Ahmedabad +300 more
								   Highly Rated For Job Security, Salary & Benefits, Skill Development / Learning",
DCB Bank,3.9,2.5k,Banking , 5k-10k Employees , Fortune India 500 , 94 years old , Ahmedabad +299 more
Hindustan Coca Cola Beverages,4.3,2.5k,Beverage , 5k-10k Employees , 27 years old ," Ahmedabad +209 more
								   
		 AmbitionBox Award Winner'22
	    Highly Rated For Skill Development / Learning, Job Security, Company Culture",
Vishal Mega Mart,3.7,2.5k,Retail , 10k-50k Employees , 16 years old ," Ahmedabad +311 more
								   
		 AmbitionBox Award Winner'22
	     Critically Rated For Company Culture, Work Satisfaction, Job Security",
Aakash Educational Services,3.6,2.5k,EdTech , 5k-10k Employees , 36 years old ," New Delhi +202 more
								    Critically Rated For Work Life Balance, Promotions / Appraisal, Work Satisfaction",
Barclays,4.1,2.5k,Banking , 10k-50k Employees , Forbes Global 2000 , 334 years old , London +31 more
Glenmark Pharmaceuticals,4.0,2.5k,Pharma , 10k-50k Employees , Public , 47 years old , Mumbai +139 more
Maersk,4.3,2.5k,Other , 10k-50k Employees , 120 years old ," Copenhagen +36 more
								   Highly Rated For Company Culture, Work Life Balance, Job Security",
Wipro Infotech,4.1,2.5k,IT Services & Consulting , 1 Lakh+ Employees (Global) , MNC , 79 years old , Bangalore +116 more
Ipca Laboratories,4.0,2.5k,Pharma , 10k-50k Employees , Public , 75 years old , Mumbai +125 more
Wipro Enterprises Ltd,3.9,2.4k,IT Services & Consulting , 501-1k Employees , 79 years old ," Bangalore +171 more
								   Highly Rated For Job Security, Skill Development / Learning  Critically Rated For Promotions / Appraisal",
Utkarsh Small Finance Bank,3.9,2.4k,Banking , 10k-50k Employees , Public , 15 years old , Varanasi +285 more
ABB Group,4.1,2.4k,Electrical Equipment , 1k-5k Employees , Public , 36 years old , Zurich +93 more
Aarti Industries,4.1,2.4k,Agro Chemicals , 5k-10k Employees , Public , 49 years old , Mumbai +42 more
DTDC Express,3.8,2.4k,Logistics , 1k-5k Employees , 34 years old ," Bangalore/Bengaluru +223 more
								    Critically Rated For Promotions / Appraisal, Salary & Benefits",
