name,rating,reviews,industry_sector,no_of_employees,company_type,how_old,head_quarters
Asian Paints,4.0,6.1k,Chemicals , 5k-10k Employees , Public , 82 years old , Mumbai +410 more
Yes Bank,3.9,6.1k,Banking , 10k-50k Employees , Public , 20 years old , Mumbai +430 more
Cipla Pharmaceutical,4.1,6k,Pharma , 10k-50k Employees , Public , 89 years old , Mumbai +225 more
Dr. Reddy's,4.1,5.9k,Pharma , 10k-50k Employees , Public , 40 years old , Hyderabad/Secunderabad +154 more
Sutherland Global Services,3.7,5.8k,IT Services & Consulting , 10k-50k Employees , 38 years old ," Pittsford +52 more
								    Critically Rated For Promotions / Appraisal, Salary & Benefits",
UltraTech Cement,4.2,5.7k,Building Material , 10k-50k Employees , Public , 41 years old , Mumbai +422 more
EXL Service,3.8,5.7k,Analytics & KPO , 10k-50k Employees , 25 years old ," New York City +43 more
								   Highly Rated For Job Security, Work Life Balance  Critically Rated For Promotions / Appraisal, Salary & Benefits",
NTT DATA,4.0,5.6k,10k-50k Employees , 36 years old ," Chiyoda City +51 more
								   Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal",,
Bandhan Bank,3.8,5.6k,Banking , 50k-1 Lakh Employees , Public , 23 years old , Kolkata +724 more
TATA Steel,4.1,5.6k,Iron & Steel , 1 Lakh+ Employees , Public , 117 years old , Mumbai +165 more
Paytm,3.4,5.6k,FinTech , 10k-50k Employees , Public , 14 years old , Noida +298 more
ICICI Prudential Life Insurance,4.1,5.5k,Insurance , 10k-50k Employees , Public , 24 years old , Mumbai +442 more
Jana Small Finance Bank,3.8,5.4k,Banking , 10k-50k Employees , Public , 18 years old , Bangalore/Bengaluru +343 more
Bajaj Finance,4.0,5.3k,NBFC , 10k-50k Employees , 37 years old ," Pune +744 more
								   Highly Rated For Salary & Benefits, Skill Development / Learning, Job Security",
Lupin,4.1,5.3k,Pharma , 10k-50k Employees , Public , 56 years old , Mumbai +162 more
Indian Army,4.7,5.2k,Defence & Aerospace , 1 Lakh+ Employees , Public , 129 years old , New Delhi +319 more
HCL Group,3.7,5.2k,IT Services & Consulting , 1 Lakh+ Employees , 48 years old ," Chennai +70 more
								   
		 AmbitionBox Award Winner'22
	    Highly Rated For Job Security  Critically Rated For Promotions / Appraisal, Salary & Benefits",
Udaan,4.0,5.2k,Internet , 1k-5k Employees , Indian Unicorn , 8 years old , Bangalore +338 more
L&T Infotech,3.8,5.1k,IT Services & Consulting , 10k-50k Employees , Public , 28 years old , Mumbai +81 more
ITC,3.9,5.1k,FMCG , 10k-50k Employees , Public , 49 years old , Kolkata +296 more
Zydus Lifesciences,4.1,5k,Pharma , 10k-50k Employees , Public , 72 years old , Ahmedabad +145 more
Wells Fargo,4.1,5k,Banking , 10k-50k Employees , Public , 172 years old , San Francisco +20 more
Quess,4.0,4.9k,IT Services & Consulting , 1 Lakh+ Employees , Public , 17 years old , Bangalore +490 more
Delhivery,4.0,4.9k,Logistics , 10k-50k Employees , Fortune India 500 , 13 years old , Delhi +598 more
JP Morgan Chase,4.2,4.9k,Financial Services , 50k-1 Lakh Employees , Forbes Global 2000 , 24 years old , New York +32 more
FIS,3.9,4.8k,FinTech , 10k-50k Employees , 56 years old ," Jacksonville +47 more
								   Highly Rated For Work Life Balance, Company Culture, Job Security  Critically Rated For Promotions / Appraisal",
Hindustan Unilever,4.2,4.8k,FMCG , 10k-50k Employees , Public , 152 years old , London +409 more
Amazon Development Centre India,4.2,4.8k,Internet , 10k-50k Employees ," Hyderabad/Secunderabad +68 more
								   Highly Rated For Company Culture, Salary & Benefits, Work Life Balance",,
IIFL Finance,3.9,4.8k,NBFC , 10k-50k Employees , Public , 29 years old , Mumbai +645 more
JSW Steel,3.9,4.6k,Iron & Steel , 10k-50k Employees , Public , 42 years old , Mumbai +136 more
Hexaware Technologies,3.7,4.6k,IT Services & Consulting , 10k-50k Employees , Fortune India 500 , 34 years old , Mumbai +41 more
Sun Pharmaceutical Industries,4.1,4.5k,Pharma , 10k-50k Employees , Public , 41 years old , Mumbai +190 more
Ujjivan Small Finance Bank,4.1,4.4k,Banking , 10k-50k Employees , Public , 7 years old , Bangalore/Bengaluru +428 more
Max Life Insurance,4.1,4.3k,Insurance , 10k-50k Employees , 24 years old ," Gurgaon/Gurugram +375 more
								   Highly Rated For Skill Development / Learning, Company Culture, Job Security",
Home Credit Finance,4.1,4.3k,Financial Services , 10k-50k Employees , 12 years old ," Gurugram +113 more
								   Highly Rated For Company Culture, Skill Development / Learning, Work Life Balance",
Muthoot Finance,3.6,4.3k,NBFC , 10k-50k Employees , Public , 85 years old , Kochi/Cochin +609 more
Shapoorji Pallonji Group,4.2,4.2k,Engineering & Construction , 5k-10k Employees , Conglomerate , 159 years old , Mumbai +155 more
KPMG India,3.6,4.2k,Management Consulting , 10k-50k Employees , 37 years old ," Bengaluru/Bangalore +75 more
								   Highly Rated For Job Security  Critically Rated For Work Life Balance, Work Satisfaction, Promotions / Appraisal",
Oracle,3.8,4.2k,Software Product , 50k-1 Lakh Employees , Public , 47 years old , Austin +44 more
Aurobindo Pharma,4.0,4.2k,Pharma , 10k-50k Employees , Public , 38 years old , Hyderabad/Secunderabad +88 more
Tata Projects,4.2,4.2k,Engineering & Construction , 5k-10k Employees , Public , 45 years old , Mumbai +233 more
OPPO,3.9,4.2k,Consumer Electronics & Appliances , 10k-50k Employees , Public , 20 years old , Dongguan +365 more
eClerx,3.4,4.2k,IT Services & Consulting , 10k-50k Employees , Public , 24 years old , Mumbai +17 more
L&T Construction,4.0,4.1k,Engineering & Construction , 10k-50k Employees , Public , 80 years old , Chennai +333 more
Capgemini Technology Services India Limited,4.0,4.1k,IT Services & Consulting , 1 Lakh+ Employees ," Bengaluru/Bangalore +41 more
								   Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits",,
Ashok Leyland,4.1,4.1k,Automobile , 5k-10k Employees , Public , 76 years old , Chennai +203 more
Shriram Transport Finance,4.1,4.1k,NBFC , 10k-50k Employees , Public , 45 years old , Mumbai +767 more
Siemens,4.2,4.1k,Power , 5k-10k Employees , Public , 177 years old , Munich +125 more
Apollo Hospitals,4.1,4.1k,Healthcare , 10k-50k Employees , Public , 41 years old , Chennai +178 more
JLL,4.2,4.1k,Real Estate , 10k-50k Employees , Forbes Global 2000 , 27 years old , Mumbai +68 more
